DISTRICT_NAME|CUSTOMER_ID|SECTOR_NAME|INDUSTRY_NAME|GENDER|NATIONALITY|MARITAL_STATUS|EDU_BG|PLACE_BIRTH|SUB_CITY|TOWN_COUNTRY|OCCUPATION|CUS_SALRG|NET_MONTHLY_OUT|NO_ACCT_TYPE|NO_ACCOUNTS|CUST_DATE|CHANNEL|MB_DATE|KPI_STATUS|CARD_USER|AVG_BAL|AVG_NO_TXN_FT|AVG_NO_TXN_TT_CR|AVG_NO_TXN_TT_DB|LAST_VISIT_DATE
EAST ADDIS DISTRICT|gAAAAABnTu6KzfQ3z-KTLump8w-KCHZ6WjgmaSfFXg7zLkxiqEq6HBoP9ahaENJLwYJTHPqxOrGmq_TK7HW_X_Pfq-cYM7F4OA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|AA|ARADA|AA|PRIVATE|1000-10000|NOTAVALIABLEYR0 |4|4|8/21/2015|USSD|12/1/2023|INACTIVE|1|6116.83166666667|15.4166666666667|1.5|0.416666666666667|10/29/2024
HAWASA DISTRICT|gAAAAABnTu6K9-iXSxo_Wct2k3rytzV67Qh2LI5xHQ1Ut1xdwOTUzyvzLy63TYQRMu-5zVjPaqKMseO4W56WXNvfoIXm_sy8YQ==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|>= 12|BALE ROBE|ROBE|BALE ROBE|SELF EMPLOYED||NOTAVALIABLEYR0 |2|2|12/3/2021|USSD|8/9/2023|ACTIVE|1|942.855833333333|21.4166666666667|1.5|7.75|11/21/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6KQRVZdKg-Z2ooIysJZi8HSKI7Re5GJe5IJIK8eq6KvqRaxp73Vuj08kaHoaVWzX_5Dk88_xX70u0FoW2QGvzMxA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|AA|GULELE|AA|PRIVATE||NOTAVALIABLEYR0 |1|1|1/4/2018|USSD|5/27/2024|ACTIVE|1|5306.78916666667|4.25|0.0833333333333333|4.16666666666667|11/21/2024
WEST ADDIS DISTRICT|gAAAAABnTu6KhwvPVMLyw90j5359Lg0-ap2_Wz8BZJaEQSRVZlox8dfFlye_J6VNq2K6mao9Wmw75jRoC20wMs6KeAR4DCTXDg==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|>= 12|BAHAR DAR|KOLFE KERANIO|AA.|SELF||4500YR54000 |2|3|12/1/2012|USSD|11/19/2018|INACTIVE|1|13487.0433333333|1.16666666666667|0.0833333333333333|0.75|11/16/2024
DESSIE DISTRICT|gAAAAABnTu6KhfhYCQJn4VSbgK6PePFljGyhiJQRZ74f4b6R0E1WBQAoPbu6XAxXU37tiGnhVLGPgIeFb2WC5TrxJrY0Up5AeQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|KEMISSIE|OROMIA SPECIAL ZONE|KEMISSIE|STUDENT||NOTAVALIABLEYR0 |1|1|6/17/2021|USSD|3/26/2024|ACTIVE|1|722.466666666667|7.16666666666667|0.0833333333333333|0.25|11/21/2024
BAHIRDAR DISTRICT|gAAAAABnTu6KPCSmrDWhgzEvIll_dxs7VAZGRK83957ueN72u7j5t0pKvc5GGi8pXP-cJuehmPlBQ9n6Bdpg533m-GpIbprhlg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|B/DAR|BDR|BDR |PRIVATE||NOTAVALIABLEYR0|1|1|9/3/2019|USSD|12/26/2023|INACTIVE|1|5065.225|12.5|0.833333333333333|3.16666666666667|11/11/2024
BAHIRDAR DISTRICT|gAAAAABnTu6KhLbCELrw7ZWDzLMUqZSzw66xijwjLI8pPB6wr-22ipwJc-BLiABpgKFwXaXxDXRqnTuQJluD2n9_7iqhGW_Shw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|ADET|BDR|BDR|Not Available||1300YR15600|1|1|3/12/2020|USSD|10/22/2024|INACTIVE|1|467.099166666667|2.0|0.916666666666667|1.33333333333333|11/20/2024
WEST ADDIS DISTRICT|gAAAAABnTu6K8ARBbbhs8BOxSb7d3Zm0cwDsZj0hNvXwj_bEQsL89sNWjtqunMblBA37liqB-lX4nRbhomPqh7I0oCnxnolSzA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Degree|AA|KOLFE KERNIYO|AA|Private|1000-10000|5000.00YR60000|4|5|4/1/2023|USSD|5/6/2024|INACTIVE|1|1753606.0525|28.5833333333333|12.3333333333333|6.08333333333333|11/21/2024
JIMMA DISTRICT|gAAAAABnTu6KfMXeyuDmFdh6t_qvyXoe-JKkgFDpD8gISwzvb1OzkVOGcEzVi5Ikp9irni98wjW9jvKcph5fksfXcI1pm4oQdQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|AMEYA|KONTA|AMEYA|EMPLOYED||NOTAVALIABLEYR0 |1|1|2/16/2022|USSD|8/31/2023|INACTIVE|1|40678.4016666667|1.33333333333333||1.25|9/24/2024
BAHIRDAR DISTRICT|gAAAAABnTu6K6_3snSylhipacQmvHKL8IRuVTDG7cUZ4vW49IdlR5DbHWevn8LJGAYERGvc-y0t5P4raeQpdBmUIWzE1InDSRA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|OROMIYA|MARAKI|GONDAR|Private|10001-20000|18000 YR 216000 |4|5|9/14/2021|USSD|5/26/2023|ACTIVE|1|10163.2791666667|31.0|2.33333333333333|12.0|11/21/2024
DESSIE DISTRICT|gAAAAABnTu6KSKZB6lI1zTBmswJ28Vv9PnzpFMZr20azt1RK6NwcFq1csmUigCk1PBWDdFqrCLN92GSjiPogWKmqVp7qQAdMyg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|Illiterate|AJIBAR|S/WOLLO|AJIBAR|JOB SEEKER||NOTAVALIABLEYR0|1|1|11/23/2023|USSD|11/3/2024|ACTIVE|1|1305.90166666667|7.25|1.41666666666667|1.16666666666667|11/20/2024
DESSIE DISTRICT|gAAAAABnTu6KABrQJoAkLLSyApckQ6EafiqygBe9hluuErDgFhhR32S1qY1Rrt-sIu71CJC-ZVVuZLA8_iTh9z-CJ_hmnd_LLg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|GEREGERA|N/WOLLO|MEKET|MERCHANT||500 YR 6000|1|1|9/4/2019|USSD|8/15/2023|ACTIVE|1|1402.11833333333|3.75|0.583333333333333|1.16666666666667|10/29/2024
